,WordList,AverageBitsFromWord
0,aahed,4.362783642191669
1,aalii,3.7719900475863097
2,aargh,4.238290773544476
3,aarti,4.721152554643125
4,abaca,3.1609708082638774
5,abaci,3.895455530519729
6,abacs,3.9283319916149906
7,abaft,3.8007453818790458
8,abaka,2.7893586427284927
9,abamp,3.4856628173761073
10,aband,3.9439092974206686
11,abash,3.9722114866545892
12,abask,3.7078980121041103
13,abaya,2.97408984240387
14,abbas,3.123290856406356
15,abbed,3.969211494873448
16,abbes,4.095038755422482
17,abcee,4.476984082570864
18,abeam,3.961353971424405
19,abear,4.540323235336498
20,abele,4.68549586650741
21,abers,5.037188809628847
22,abets,4.940763203685344
23,abies,5.019839806093985
24,abler,5.181803106719042
25,ables,5.003910338210621
26,ablet,5.237781824257477
27,ablow,4.188509659681252
28,abmho,3.987095330130004
29,abohm,4.105339585758137
30,aboil,4.805425427594924
31,aboma,3.682458857567541
32,aboon,4.038996487771564
33,abord,4.737101564573073
34,abore,5.3039194315105505
35,abram,3.9221152520290263
36,abray,4.048658834678035
37,abrim,4.533580004491054
38,abrin,4.85227269628597
39,abris,4.798874498993402
40,absey,4.75182218734621
41,absit,4.809231094634443
42,abuna,3.80790678896933
43,abune,4.9155827789555415
44,abuts,4.538723995302184
45,abuzz,2.728349296916304
46,abyes,4.670344861281288
47,abysm,4.1173808772271965
48,acais,4.31239614352235
49,acari,4.439996084238475
50,accas,3.397243708351023
51,accoy,3.907193244935209
52,acerb,4.944776971289855
53,acers,5.258277936321456
54,aceta,4.54144530021106
55,achar,4.204025187433983
56,ached,4.717443330963201
57,aches,4.833667458972222
58,achoo,3.8692676200975393
59,acids,4.6224892306336525
60,acidy,4.496844796011078
61,acing,4.547316086401407
62,acini,4.095751766577587
63,ackee,4.339748660282722
64,acker,4.863545875846842
65,acmes,4.839692320507009
66,acmic,3.720981293736432
67,acned,5.052045399527627
68,acnes,5.160456881562552
69,acock,3.727343630160448
70,acold,4.85803392794572
71,acred,5.249499846993346
72,acres,5.359025932481131
73,acros,5.033974425317513
74,acted,5.105805791532691
75,actin,4.963694588940402
76,acton,4.96520317005397
77,acyls,4.615347554503655
78,adaws,3.665126001056322
79,adays,3.8855912621054256
80,adbot,4.587847223052075
81,addax,2.536453099863998
82,added,3.5026437347416928
83,adder,4.483820004096871
84,addio,3.902403151294817
85,addle,4.487969551749957
86,adeem,4.366011469053903
87,adhan,3.848108686761441
88,adieu,4.878827399095088
89,adios,4.777268659634066
90,adits,4.876078326779764
91,adman,3.83888107010029
92,admen,4.807509231312844
93,admix,3.6366134185457963
94,adobo,3.7359161535056096
95,adown,4.3201563007367865
96,adoze,4.404648992165922
97,adrad,3.62477076842319
98,adred,4.5747445239192155
99,adsum,4.231138523027353
100,aduki,3.9903602440873303
101,adunc,4.452597832597973
102,adust,4.851919622111021
103,advew,4.045531007259592
104,adyta,3.8854464206114963
105,adzed,3.541768672666604
106,adzes,4.239241357722802
107,aecia,4.525611763373246
108,aedes,4.730106081421901
109,aegis,5.011273501521878
110,aeons,5.395353961382604
111,aerie,5.253231091943308
112,aeros,5.528938889552471
